Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TCP prueba,100,15627,10384,27058,53871,54447,10251,54455,0.000%,1.81235,0.02,0.00
TOTAL,100,15627,10384,27058,53871,54447,10251,54455,0.000%,1.81235,0.02,0.00
