Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TCP prueba,150,32851,10220,90883,92789,245540,10174,245624,5.333%,.60854,0.01,0.00
TOTAL,150,32851,10220,90883,92789,245540,10174,245624,5.333%,.60854,0.01,0.00
