Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TCP prueba,150,18304,10342,29810,32946,50823,10189,137206,0.667%,1.08506,0.01,0.00
TOTAL,150,18304,10342,29810,32946,50823,10189,137206,0.667%,1.08506,0.01,0.00
