Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TCP prueba,200,38092,20963,86339,145414,145640,10180,145681,19.000%,1.36668,0.02,0.00
TOTAL,200,38092,20963,86339,145414,145640,10180,145681,19.000%,1.36668,0.02,0.00
