Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TCP prueba,100,14906,10415,27637,27703,78887,10204,81687,0.000%,1.21014,0.02,0.00
TOTAL,100,14906,10415,27637,27703,78887,10204,81687,0.000%,1.21014,0.02,0.00
